player_id,player_name,first_name,last_name,salary
353,Yante Maten,Yante,Maten,385000
354,Wesley Matthews,Wesley,Matthews,19360228
355,Luc Mbah,Luc,Mbah,4320500
356,Tahjere McCall,Tahjere,McCall,47370
357,Patrick McCaw,Patrick,McCaw,964104
358,CJ McCollum,CJ,McCollum,25759766
359,TJ McConnell,TJ,McConnell,1600520
360,Doug McDermott,Doug,McDermott,7333334
361,JaVale McGee,JaVale,McGee,2393887
362,Rodney McGruder,Rodney,McGruder,1544951
363,Alfonzo McKinnie,Alfonzo,McKinnie,1349383
364,Ben McLemore,Ben,McLemore,5460000
365,Jordan McRae,Jordan,McRae,77250
366,Jodie Meeks,Jodie,Meeks,3774176
367,Salah Mejri,Salah,Mejri,2098196
368,De'Anthony Melton,De'Anthony,Melton,949000
369,Chimezie Metu,Chimezie,Metu,838464
370,Khris Middleton,Khris,Middleton,13000000
371,CJ Miles,CJ,Miles,8333333
372,Darius Miller,Darius,Miller,2205000
373,Malcolm Miller,Malcolm,Miller,457418
374,Patrick Mills,Patrick,Mills,11571429
375,Paul Millsap,Paul,Millsap,29230769
376,Shake Milton,Shake,Milton,77250
377,Nikola Mirotic,Nikola,Mirotic,12500000
378,Donovan Mitchell,Donovan,Mitchell,3111480
379,Malik Monk,Malik,Monk,3447480
380,Greg Monroe,Greg,Monroe,2410167
381,E'Twaun Moore,E'Twaun,Moore,8808685
382,Ben Moore,Ben,Moore,222099
383,Eric Moreland,Eric,Moreland,309859
384,Markieff Morris,Markieff,Morris,9173294
385,Marcus Morris,Marcus,Morris,5375000
386,Monte Morris,Monte,Morris,1349383
387,Jaylen Morris,Jaylen,Morris,77250
388,Donatas Motiejunas,Donatas,Motiejunas,99289
389,Johnathan Motley,Johnathan,Motley,77250
390,Timofey Mozgov,Timofey,Mozgov,16000000
391,Emmanuel Mudiay,Emmanuel,Mudiay,4294479
392,Jamal Murray,Jamal,Murray,3499800
393,Dejounte Murray,Dejounte,Murray,1544951
394,Dzanan Musa,Dzanan,Musa,1634400
395,Mike Muscala,Mike,Muscala,5000000
396,Sviatoslav Mykhailiuk,Sviatoslav,Mykhailiuk,1487694
397,Abdel Nader,Abdel,Nader,1378242
398,Larry Nance,Larry,Nance,2272390
399,Shabazz Napier,Shabazz,Napier,1942422
400,Raul Neto,Raul,Neto,2100000
401,Georges Niang,Georges,Niang,1512601
402,Andrew Nicholson,Andrew,Nicholson,2844429
403,Joakim Noah,Joakim,Noah,20261172
404,Nerlens Noel,Nerlens,Noel,1757429
405,Dirk Nowitzki,Dirk,Nowitzki,5000000
406,Frank Ntilikina,Frank,Ntilikina,4155720
407,Kendrick Nunn,Kendrick,Nunn,47370
408,James Nunnally,James,Nunnally,663255
409,Jusuf Nurkic,Jusuf,Nurkic,11111111
410,David Nwaba,David,Nwaba,1512601
411,Royce O'Neale,Royce,O'Neale,1378242
412,Kyle O'Quinn,Kyle,O'Quinn,4449000
413,Semi Ojeleye,Semi,Ojeleye,1378242
414,Jahlil Okafor,Jahlil,Okafor,1567007
415,Elie Okobo,Elie,Okobo,1238464
416,Josh Okogie,Josh,Okogie,2163600
417,Victor Oladipo,Victor,Oladipo,21000000
418,Kelly Olynyk,Kelly,Olynyk,13537527
419,Cedi Osman,Cedi,Osman,2775000
420,Kelly Oubre,Kelly,Oubre,3208630
421,Zaza Pachulia,Zaza,Pachulia,2393887
422,Georgios Papagiannis,Georgios,Papagiannis,2400480
423,Jabari Parker,Jabari,Parker,20000000
424,Tony Parker,Tony,Parker,5000000
425,Chandler Parsons,Chandler,Parsons,24107258
426,Patrick Patterson,Patrick,Patterson,5451600
427,Justin Patton,Justin,Patton,2667600
428,Chris Paul,Chris,Paul,35654150
429,Cameron Payne,Cameron,Payne,3440356
430,Elfrid Payton,Elfrid,Payton,3000000
431,Gary Payton,Gary,Payton,85457
432,Tarik Phillip,Tarik,Phillip,47370
433,Theo Pinson,Theo,Pinson,77250
434,Mason Plumlee,Mason,Plumlee,12917808
435,Miles Plumlee,Miles,Plumlee,12400000
436,Jakob Poeltl,Jakob,Poeltl,2947320
437,Quincy Pondexter,Quincy,Pondexter,2165481
438,Otto Porter,Otto,Porter,26011913
439,Michael Porter,Michael,Porter,2894160
440,Bobby Portis,Bobby,Portis,2494346
441,Kristaps Porzingis,Kristaps,Porzingis,5697054
442,Dwight Powell,Dwight,Powell,9631250
443,Norman Powell,Norman,Powell,9367200
444,Alex Poythress,Alex,Poythress,77250
445,Billy Preston,Billy,Preston,77250
446,Taurean Prince,Taurean,Prince,2526840
447,Zhou Qi,Zhou,Qi,1378242
448,Ivan Rabb,Ivan,Rabb,1378242
449,Julius Randle,Julius,Randle,8641000
450,Chasson Randle,Chasson,Randle,975824
451,Zach Randolph,Zach,Randolph,11692308
452,JJ Redick,JJ,Redick,12250000
453,Davon Reed,Davon,Reed,752250
454,Cam Reynolds,Cam,Reynolds,108953
455,Josh Richardson,Josh,Richardson,9367200
456,Malachi Richardson,Malachi,Richardson,1569360
457,Austin Rivers,Austin,Rivers,13155324
458,Andre Roberson,Andre,Roberson,10000000
459,Glenn Robinson,Glenn,Robinson,4075000
460,Jerome Robinson,Jerome,Robinson,3050160
461,Mitchell Robinson,Mitchell,Robinson,1485440
462,Devin Robinson,Devin,Robinson,77250
463,Duncan Robinson,Duncan,Robinson,77250
464,Rajon Rondo,Rajon,Rondo,9000000
465,Derrick Rose,Derrick,Rose,2176260
466,Terrence Ross,Terrence,Ross,10500000
467,Terry Rozier,Terry,Rozier,3050389
468,Ricky Rubio,Ricky,Rubio,14800000
469,D'Angelo Russell,D'Angelo,Russell,7019698
470,Domantas Sabonis,Domantas,Sabonis,2659800
471,JaKarr Sampson,JaKarr,Sampson,85457
472,Brandon Sampson,Brandon,Sampson,77250
473,Dario Saric,Dario,Saric,2526840
474,Tomas Satoransky,Tomas,Satoransky,3129187
475,Dennis Schroeder,Dennis,Schroeder,15500000
476,Mike Scott,Mike,Scott,4320500
477,Thabo Sefolosha,Thabo,Sefolosha,5250000
478,Wayne Selden,Wayne,Selden,1544951
479,Collin Sexton,Collin,Sexton,4073760
480,Landry Shamet,Landry,Shamet,1705920
481,Iman Shumpert,Iman,Shumpert,11011234
482,Pascal Siakam,Pascal,Siakam,1544951
483,Jordan Sibert,Jordan,Sibert,47370
484,Ben Simmons,Ben,Simmons,6434520
485,Jonathon Simmons,Jonathon,Simmons,6000000
486,Kobi Simmons,Kobi,Simmons,76236
487,Anfernee Simons,Anfernee,Simons,1837800
488,Kyle Singler,Kyle,Singler,1665333
489,Marcus Smart,Marcus,Smart,11160716
490,JR Smith,JR,Smith,14720000
491,Ishmael Smith,Ishmael,Smith,6000000
492,Jason Smith,Jason,Smith,5450000
493,Josh Smith,Josh,Smith,5331729
494,Dennis Smith,Dennis,Smith,3819960
495,Zhaire Smith,Zhaire,Smith,2615160
496,Tony Snell,Tony,Snell,10607143
497,Richard Solomon,Richard,Solomon,47370
498,Raymond Spalding,Raymond,Spalding,1023210
499,Omari Spellman,Omari,Spellman,1622520
500,Nik Stauskas,Nik,Stauskas,2161886
501,DJ Stephens,DJ,Stephens,77250
502,Lance Stephenson,Lance,Stephenson,4449000
503,Jarnell Stokes,Jarnell,Stokes,77250
504,Edmond Sumner,Edmond,Sumner,449794
505,Caleb Swanigan,Caleb,Swanigan,1740000
506,Jayson Tatum,Jayson,Tatum,6700800
507,Jeff Teague,Jeff,Teague,19000000
508,Mirza Teletovic,Mirza,Teletovic,10500000
509,Garrett Temple,Garrett,Temple,8000000
510,Milos Teodosic,Milos,Teodosic,6300000
511,Jared Terrell,Jared,Terrell,77250
512,Emanuel Terry,Emanuel,Terry,94740
513,Daniel Theis,Daniel,Theis,1378242
514,Lance Thomas,Lance,Thomas,7119650
515,Isaiah Thomas,Isaiah,Thomas,2029463
516,Khyri Thomas,Khyri,Thomas,838464
517,Klay Thompson,Klay,Thompson,18988725
518,Tristan Thompson,Tristan,Thompson,17469565
519,Jason Thompson,Jason,Thompson,893333
520,Sindarius Thornwell,Sindarius,Thornwell,1378242
521,Anthony Tolliver,Anthony,Tolliver,5750000
522,Karl-Anthony Towns,Karl-Anthony,Towns,7839435
523,Gary Trent,Gary,Trent,838464
524,Allonzo Trier,Allonzo,Trier,3382000
525,PJ Tucker,PJ,Tucker,7959537
526,Evan Turner,Evan,Turner,17868853
527,Myles Turner,Myles,Turner,3294994
528,Ekpe Udoh,Ekpe,Udoh,3360000
529,Tyler Ulis,Tyler,Ulis,77250
530,Jonas Valanciunas,Jonas,Valanciunas,16539326
531,Denzel Valentine,Denzel,Valentine,2280600
532,Jarred Vanderbilt,Jarred,Vanderbilt,838464
533,Fred VanVleet,Fred,VanVleet,8653847
534,Noah Vonleh,Noah,Vonleh,1621415
535,Nikola Vucevic,Nikola,Vucevic,12750000
536,Dwyane Wade,Dwyane,Wade,2393887
537,Moritz Wagner,Moritz,Wagner,1764240
538,Dion Waiters,Dion,Waiters,12705000
539,Kemba Walker,Kemba,Walker,12000000
540,Lonnie Walker,Lonnie,Walker,2360160
541,John Wall,John,Wall,19169800
542,Tyrone Wallace,Tyrone,Wallace,1349383
543,Brad Wanamaker,Brad,Wanamaker,838464
544,TJ Warren,TJ,Warren,11750000
545,Julian Washburn,Julian,Washburn,77250
546,Yuta Watanabe,Yuta,Watanabe,77250
547,Thomas Welsh,Thomas,Welsh,77250
548,Russell Westbrook,Russell,Westbrook,35665000
549,Derrick White,Derrick,White,1667160
550,Okaro White,Okaro,White,247827
551,Isaiah Whitehead,Isaiah,Whitehead,726390
552,Hassan Whiteside,Hassan,Whiteside,24434262
553,Andrew Wiggins,Andrew,Wiggins,25467250
